Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC
"2 Bedroom House in Peyad, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-peyad-trivandrum-2200-sq-ft-r3-spid-F38813383,5500000.0,2.0,3.495118786087473,2200.0,1000.0,68,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in , peyad, kerala which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort."
"4 Bedroom House in Chenkottukonam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-chenkottukonam-trivandrum-1742-sq-ft-r1-spid-Q73189523,6900000.0,4.0,6.655560701309242,1700.0,1742.0,10,"House for sale in gated community near technopark, chengottukonam"
"3 Bedroom House in Puthenthope, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puthenthope-trivandrum-958320-sq-ft-spid-C75668759,7500000.0,3.0,0.0,2200.0,1742.0,78,"Planning to buy an individual house in trivandrum. Then you should definitely check out this 3 bhk house for sale in puthenthope, a well-Planned and well-Connected locality in trivandrum. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a built up area of 2200 sq.Ft. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 85 lac. You can enjoy additional wellness features and amenities such as club house / community center, that are part of this housing locality. You enjoy a 24*7 water supply in your house."
"4 Bedroom House for sale in Venjaramoodu, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-venjaramoodu-trivandrum-1800-sq-ft-spid-J77081363,6500000.0,4.0,0.5089825853885316,1800.0,3049.0,93,4 bhk new house for sale near venjaramoodu. 7cent 1800sqft house with semi furnished. Amenities * 100mtr to govt pirappancode school and university college. * 500mtr to mc road. * 3km to hospital. * residential area with govt employees * life time guarantee construction. * 2km to petrol pump * 750 mtr to bus stop * 4km to gokulum hospital.
"4 Bedroom House for sale in Uliyazhathura, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-uliyazhathura-trivandrum-609840-sq-ft-spid-F77077837,5400000.0,4.0,0.5239936537215222,1400.0,1524.0,86,"3.2 cent 4 bedroom 4 bathroom 1400sqft 5400,000 Subash nagar ,powdikonam sreekaryam * powdikonam - Jn 1.5 km * sreekaryam -5 km * mc road- 1.5 km * mannanthala 3 km * all facilities within 1.5 km"
"2 Bedroom House for sale in Thirumala, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-thirumala-trivandrum-3093-sq-ft-spid-W77076181,16000000.0,2.0,4.153129316102042,1995.0,3092.0,84,"2 floor house, 2 bedroom, 2 attached bathroom, Kitchen, dining area, courtyard, 2 living room, 1 balcony, open accessible terrace, car porch 1995sq ft, appox 7.2cents"
"3 Bedroom House for sale in Powdikonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-powdikonam-trivandrum-4792-sq-ft-spid-Y77044721,11800000.0,3.0,5.927295750218583,2150.0,4791.0,73,"2150 sqft,3abhk, all attached. One additional wash room , drawing room, dining, living room, balcony, sit out, kitchen, store, work area, covered side terrace, 3+ car parking space,42 rings deep well& cooperation water connection. Land located at samskara lane powdikonam Land area : 10.85( As per adharam, actual 11cents) 3.5 meter road lorry access Main stop 450meter Powdikonam junction 500 meter Sreekaryam 3 km Medical college 7 km Technopark 9 km Airport 12 km Trivandrum 10 km Mc road mannanthala junction 3 km Triveni supermarket 450 meter Public market 500 meter Central bank of india 450 meter Dm private hospital 550 meter Loyola school 4 km St. Thomas school 4.5km S n public school 3.5 km Sabarigiri international school 5 km Chempaka school 4 km Road concrete or interlock finishing Engineering colleges -3.5 km Kims 6 km Railway staion 10 km"
"4 Bedroom House for sale in Pothencode, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-pothencode-trivandrum-2396-sq-ft-spid-O77031827,8000000.0,4.0,8.73860192429224,2000.0,2395.0,71,Key highlights:
"3 Bedroom House for sale in Pallichal, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pallichal-trivandrum-2000-sq-ft-r1-spid-L73155529,6000000.0,3.0,2.376139638852587,2000.0,2500.0,60,Good and spacious with all facilities available near by such as hospital college
"4 Bedroom House for sale in Pothencode, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-pothencode-trivandrum-1800-sq-ft-spid-S76955025,6500000.0,4.0,0.4112110852566032,1800.0,1800.0,71,"New launch ed home for sale near pothencode 1800sq.Ft, 4bhk owner"
"3 Bedroom House for sale in Puliyarakonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puliyarakonam-trivandrum-1525-sq-ft-spid-I76954661,4100000.0,3.0,7.595302128042394,1698.0,1525.0,76,"2 floors, car parking , 3 bedrooms, 3 bathrooms, hall, separate dining area, north facing, common area on 1st floor, balcony , work area, funished kitchen, tarred road till entrance of the property entrance lane ( 10meters private lane with car access) , near to myladi - Puliyarakonam"
"2 Bedroom House for sale in Kazhakootam, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kazhakootam-trivandrum-1000-sq-ft-spid-I76929399,10000000.0,2.0,0.42014125070320574,1000.0,2100.0,32,Individual house for sale near kazhakootam
"5 Bedroom House for sale in Kovalam, Trivandrum",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kovalam-trivandrum-1132560-sq-ft-r19-spid-D28415859,15000000.0,5.0,7.202902899888893,2600.0,3049.0,37,"Interested to sell independent house/villa.It is more than 10 years old property constructionplaced at kovalam.2600.00 sq.Ft.(Builtup area) , 7.00 cents(Plot area) is the area of the propertynice unfurnished enhancing decorit has spacious 5 bedrooms and 4 bathrooms. .Want to sell it for rs 15000000 it's near to kovalam beach, vizhinjam mother port"
"2 Bedroom House for sale in Alamcode, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-alamcode-trivandrum-970-sq-ft-spid-B76869665,4500000.0,2.0,0.563534406413674,970.0,1742.0,1,2 bhk house for sale In attingal total 4 cent plot
"3 Bedroom House for sale in Malayinkeezh, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-malayinkeezh-trivandrum-2178-sq-ft-spid-T76866961,4800000.0,3.0,0.4401584805953098,1550.0,2178.0,42,"Area-1550 sq feet, 5 cent, 3 bhk, drawing dining hall, 2 balconies, 1 utility room, one open terrace, with compound wall & gate, front garden tiled & concreted, well & govt tap water.Location falls in malayinkeezhu. This 3 bhk unit is available in malayinkeezhu and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in malayinkeezhu. The price of this independent house is rs 48.0 l. It is a good, spacious independent house unit with carpet area of 1450 square feet. The built-Up area is 1550 square feet. There are 3 bedrooms and 3 bathroom. The property is east-Facing. This property is at a walking distance from malayinkeezhu community health centre, matha ayurveda eye hospital and panchakarma centre moongode, and abhaya hospital mitra psychiatry and deaddiction centre. The brokerage amount to be paid is rs 0"
"4 Bedroom House for sale in Mangalapuram, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-i-cloud-mangalapuram-trivandrum-2626-sq-ft-r3-spid-V51494320,14900000.0,4.0,3.7023445458781805,2626.0,2800.0,43,"My premium villa comes with all amenities and is fully secured. Community has retd officials, doctors and is ready for immediate possession."
"4 Bedroom House for sale in Chenkottukonam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-chenkottukonam-trivandrum-1634-sq-ft-spid-N76838385,6800000.0,4.0,8.320706049540059,1700.0,1633.0,10,"House for sale in gated community near technopark, chengottukonam4 bed room house, can be used as two 2bhkground and upstairs, each floor with 2 bedrooms with attached bathrooms 1 kitchen 1 spacious hall work area first floor for sale..Land area about 4 centsplinth area 1700 sqft.Carpet area 1400 sqftredbrick quality construction house constructed for personal use.Space available for 2 cars parking gardening.Bore well drinking quality available.Covered terrace for gardening."
"3 Bedroom House for sale in Ooruttambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-ooruttambalam-trivandrum-1006-sq-ft-spid-E76801357,2900000.0,3.0,0.0,1006.0,2069.0,57,Under construction
"3 Bedroom House for sale in Pravachambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pravachambalam-trivandrum-1742-sq-ft-spid-R76784179,6200000.0,3.0,0.6164663600660201,1600.0,2090.0,74,"Located 200 mtrs from main road to trinity college Area : 4.8 cents 1600 sqft 3 car parking space Vathu based house Front doors and windows : Jack wood Premium quality laminated plywood used for Tv units,wardrobes,kitchen cupboards etc Ground floor : 1 bed room First floor : 2 bed rooms Wardrobes in 2 bedrooms Bath room fittings : Cera Electrical fittings : Vguard,legrand Water proof kitchen cupboards Pravachambalam : 2 km Trivandrum : 9 km Price : 62 lakhs(Nego)"
"3 Bedroom House for sale in Pravachambalam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pravachambalam-trivandrum-1500-sq-ft-r1-spid-E74118035,4800000.0,3.0,0.0,1500.0,2200.0,60,For sale: Charming home near naruvamood junction
"3 Bedroom House for sale in Karikkakam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karikkakam-trivandrum-1500-sq-ft-r11-spid-V41368951,9000000.0,3.0,2.3195623990388885,1500.0,1524.0,26,"2kms away from chackai bypass jn ,lulu mall,airport,railway station,hospitals"
"3 Bedroom House for sale in Karikkakam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karikkakam-trivandrum-1525-sq-ft-r1-spid-M68183586,8150000.0,3.0,8.255531555045138,1525.0,1420.0,26,"Villa in vivekanda nagar, karikakam which is 2.5 km from lulu mall and 4 km from tvm international airport for sale. Kims hospital is about 2 km. This is the first house in the project and has a total land of 3.26 cents. The interiors are modern. Construction completed in first half of 2016. Price is negotiable. The furnished items may be moved on purchase and basic ones like lights and fans will be made available. Ac can be kept if additional payment done. If any of the items are required, it has to be separately discussed. If brokers are involved, please excuse your charges from the sale price."
"3 Bedroom House for sale in Thattathumala, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-thattathumala-trivandrum-4356-sq-ft-r1-spid-M73529963,4500000.0,3.0,7.168076495852669,1300.0,4356.0,83,Mc road 10 1300 sqft 3 Near hospital Near school Near market
"4 Bedroom House for sale in Karyavattom, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-future-garden-homes-karyavattom-trivandrum-2352-sq-ft-spid-Q76688483,7400000.0,4.0,7.506209272018898,2200.0,2352.0,28,"5 bhk (G+1 house) with 4 attached bathrooms + 1 kitchen + 2 halls & dining area+ verandah & balcony for urgent sale at very attactive price for immediate buyers. Separate entrances (Gate entry and door entry) are available gf & ff. 2 car parking space & bore well (Drinking water). Recently painted, leak proof coated roof & pest treated red brick house at kariyavattom. Pullanivila junction - Approx. 1 km Technopark - About 4 km Lncpe kurissadu junction - 1 km approx. Land area about 5.4 cents. House area about 2200 sft. Rental value - Rs. 20,000 above."
"4 Bedroom House for sale in Njandoorkonam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-favourite-pebble-gardens-njandoorkonam-trivandrum-1089000-sq-ft-spid-A76684197,14500000.0,4.0,6.909153280235833,2500.0,3049.0,56,"Semi furnished villa, corner plot, 2 sides open within a gated community comprising 78 villas in a 6-Acre plot with all amenities including swimming pool, club house with gym, sauna, squash court, badminton court, kids' play area, a small ground for football/pitch for cricket with led lights, park for children and elders, etc. Kitchen and work area are newly renovated with premium quality aluminum cabinets. Full roof top has aluminium roofing and mesh cover. It is well connected to all important locations and easily accessible from all directions."
"2 Bedroom House for sale in Kunnapuzha, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kunnapuzha-trivandrum-1200-sq-ft-spid-C76647213,5500000.0,2.0,8.028511712144317,1200.0,2244.0,40,5.15 cent near church kunnapuzha..School shops hospitals nearby.Now given for rent...
"4 Bedroom House for sale in Venjaramoodu, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-venjaramoodu-trivandrum-1001880-sq-ft-r2-spid-J72116662,9000000.0,4.0,0.5574485139708332,2300.0,3267.0,93,4 bed room new house for sale in venjaramoodu near kunnil supermarket for sale. Total area 7.5 cents.
